,Player,Player_url,Duration_2019,Type_2019,Season
61,Georges-Kevin N'Koudou,https://www.transfermarkt.com/georges-kevin-nkoudou/profil/spieler/215679,78,"Fever ,",2019
62,Lucas Moura,https://www.transfermarkt.com/lucas-moura/profil/spieler/77100,32,"Calf Injury , Dead Leg ,",2019
63,Erik Lamela,https://www.transfermarkt.com/erik-lamela/profil/spieler/111630,211,"Shoulder Injury , Calf Injury , Groin Injury , Hamstring Injury , Strain , Calf Injury , Strain ,",2019
64,Harry Kane,https://www.transfermarkt.com/harry-kane/profil/spieler/132098,93,"Ankle Injury , Ankle Injury , Unknown Injury ,",2019
65,Kepa Arrizabalaga,https://www.transfermarkt.com/kepa-arrizabalaga/profil/spieler/192279,3,"Shoulder Injury ,",2019
66,Antonio Rüdiger,https://www.transfermarkt.com/antonio-rudiger/profil/spieler/86202,179,"Groin Injury , Groin Injury , Knock , Knee Injury , Knee Surgery , Minor Knock , Knee Injury , Groin Strain , Groin Injury ,",2019
67,Andreas Christensen,https://www.transfermarkt.com/andreas-christensen/profil/spieler/196948,15,"Muscle Injury , Sprained ankle , Cold ,",2019
68,Emerson Palmieri,https://www.transfermarkt.com/emerson-palmieri/profil/spieler/181778,12,"Corona virus ,",2019
69,Marcos Alonso,https://www.transfermarkt.com/marcos-alonso/profil/spieler/112515,28,"Corona virus , Knock ,",2019
70,Davide Zappacosta,https://www.transfermarkt.com/davide-zappacosta/profil/spieler/173859,35,"Tear in the abductor muscle , Biceps femoris muscle injury ,",2019
71,N'Golo Kanté,https://www.transfermarkt.com/ngolo-kante/profil/spieler/225083,41,"Groin Injury , Fitness , Hamstring Injury ,",2019
72,Mateo Kovacic,https://www.transfermarkt.com/mateo-kovacic/profil/spieler/51471,38,"Knock , Ill , Calf Problems , Rest , Knee Problems , Ankle Injury , Corona virus ,",2019
73,Ruben Loftus-Cheek,https://www.transfermarkt.com/ruben-loftus-cheek/profil/spieler/202886,333,"Calf Injury , Corona virus , Unknown Injury , Knock , Achilles tendon rupture , Back Injury ,",2019
74,Ross Barkley,https://www.transfermarkt.com/ross-barkley/profil/spieler/131978,8,"Hamstring Injury , Ill ,",2019
75,Mason Mount,https://www.transfermarkt.com/mason-mount/profil/spieler/346483,21,"Unknown Injury ,",2019
76,Callum Hudson-Odoi,https://www.transfermarkt.com/callum-hudson-odoi/profil/spieler/392768,143,"Unknown Injury ,",2019
77,Willian,https://www.transfermarkt.com/willian/profil/spieler/52769,8,"Torn Muscle Fibre ,",2019
78,Kenedy,https://www.transfermarkt.com/kenedy/profil/spieler/281404,40,"Torn muscle bundle , Groin Injury , Sprained ankle , Hamstring Injury ,",2019
79,Christian Pulisic,https://www.transfermarkt.com/christian-pulisic/profil/spieler/315779,73,"Knee Problems , Ill , Ankle Injury , Corona virus , Muscle Injury ,",2019
80,Pedro,https://www.transfermarkt.com/pedro/profil/spieler/65278,34,"Ankle Injury , Nasal Bone Fracture , Ankle Injury , Ankle Injury ,",2019
81,Olivier Giroud,https://www.transfermarkt.com/olivier-giroud/profil/spieler/82442,20,"Calf Problems , Distortion of the ankle ,",2019
82,Sergio Romero,https://www.transfermarkt.com/sergio-romero/profil/spieler/30690,12,"Muscular problems ,",2019
83,Harry Maguire,https://www.transfermarkt.com/harry-maguire/profil/spieler/177907,44,"Hamstring Injury , Knee Problems ,",2019
84,Victor Lindelöf,https://www.transfermarkt.com/victor-lindelof/profil/spieler/184573,20,"Back trouble ,",2019
85,Eric Bailly,https://www.transfermarkt.com/eric-bailly/profil/spieler/286384,130,"Dead Leg , Thigh Problems , Ankle Injury , Corona virus , Knock ,",2019
86,Marcos Rojo,https://www.transfermarkt.com/marcos-rojo/profil/spieler/93176,446,"Disrupted Calf Muscle , Torn muscle bundle , Fitness , Ruptured cruciate ligament , Calf Problems , Torn muscle bundle , Thigh Problems , Quarantine ,",2019
87,Axel Tuanzebe,https://www.transfermarkt.com/axel-tuanzebe/profil/spieler/342046,97,"Unknown Injury ,",2019
88,Phil Jones,https://www.transfermarkt.com/phil-jones/profil/spieler/117996,124,"Knee Injury , Knock , Knock , Ill , Hamstring Injury , Hamstring Injury ,",2019
89,Max Taylor,https://www.transfermarkt.com/max-taylor/profil/spieler/460683,384,"cancer ,",2019
90,Luke Shaw,https://www.transfermarkt.com/luke-shaw/profil/spieler/183288,53,"Muscle Injury , Unknown Injury , Leg Injury , Corona virus ,",2019
91,Ashley Young,https://www.transfermarkt.com/ashley-young/profil/spieler/14086,14,"Corona virus , Knock , Knock , Muscular problems ,",2019
92,Cameron Borthwick-Jackson,https://www.transfermarkt.com/cameron-borthwick-jackson/profil/spieler/258879,55,"Cartilage Damage ,",2019
93,Aaron Wan-Bissaka,https://www.transfermarkt.com/aaron-wan-bissaka/profil/spieler/477758,32,"Back trouble , Ill ,",2019
94,Diogo Dalot,https://www.transfermarkt.com/diogo-dalot/profil/spieler/357147,50,"Hamstring Injury , Groin Injury ,",2019
