,Player,Player_url,Duration_2018,Type_2018,Season,Duration_2019,Type_2019,Duration_2020,Type_2020,Duration_2021,Type_2021,Duration_2022,Type_2022,Duration_2023,Type_2023
3542,Toma Bašić,https://www.transfermarkt.com/toma-ba-scaron-i%C4%87/profil/spieler/334835,,,2022,,,,,,,8.0,"Corona virus ,",,
3543,Matteo Cancellieri,https://www.transfermarkt.com/matteo-cancellieri/profil/spieler/550106,,,2022,,,,,,,43.0,"Distortion of the ankle , Hamstring Injury , Corona virus , Flu ,",,
3544,Luka Romero,https://www.transfermarkt.com/luka-romero/profil/spieler/769063,,,2022,,,,,,,6.0,"Corona virus ,",,
3545,Luca Ranieri,https://www.transfermarkt.com/luca-ranieri/profil/spieler/346561,,,2022,,,,,,,53.0,"Muscular problems , Unknown Injury , Muscle Fatigue ,",8.0,"Unknown Injury ,"
3546,Youssef Maleh,https://www.transfermarkt.com/youssef-maleh/profil/spieler/324377,,,2022,,,,,,,8.0,"Back trouble ,",52.0,"Distortion of the ankle , Unknown Injury , Muscle Fatigue , Distortion of the ankle , Unknown Injury ,"
3547,Maxime López,https://www.transfermarkt.com/maxime-lopez/profil/spieler/290862,,,2022,,,,,,,4.0,"Influenza ,",25.0,"Knee Injury ,"
3548,Davide Frattesi,https://www.transfermarkt.com/davide-frattesi/profil/spieler/394300,,,2022,,,,,,,5.0,"Unknown Injury ,",9.0,"Rest , Muscular problems ,"
3549,Matheus Henrique,https://www.transfermarkt.com/matheus-henrique/profil/spieler/552549,,,2022,,,,,,,56.0,"Muscular problems , Muscular problems , Muscular problems ,",,
3550,Kristian Thorstvedt,https://www.transfermarkt.com/kristian-thorstvedt/profil/spieler/564785,,,2022,,,,,,,28.0,"Knee Injury ,",,
3551,Agustín Álvarez,https://www.transfermarkt.com/agustin-alvarez/profil/spieler/812625,,,2022,,,,,,,38.0,"Muscle Injury , Corona virus , Knock , Muscular problems ,",167.0,"Cruciate Ligament Rupture ,"
3552,Etrit Berisha,https://www.transfermarkt.com/etrit-berisha/profil/spieler/77825,,,2022,,,,,,,21.0,"Unknown Injury ,",28.0,"Elbow Injury , Knee Problems ,"
3553,Perr Schuurs,https://www.transfermarkt.com/perr-schuurs/profil/spieler/418543,,,2022,,,,,,,89.0,"Knee Injury , Calf Injury ,",41.0,"Tear in the abductor muscle , Rest , Unknown Injury ,"
3554,Ivan Ilić,https://www.transfermarkt.com/ivan-ili%C4%87/profil/spieler/470794,,,2022,,,,,,,44.0,"Unknown Injury , Ankle problems , Bruise ,",74.0,"Ankle Injury , Knock , Muscular problems , Ankle Injury , Knock ,"
3555,Emirhan Ilkhan,https://www.transfermarkt.com/emirhan-ilkhan/profil/spieler/743091,,,2022,,,,,,,17.0,"Abdominal Influenza , Bruised Foot , Unknown Injury ,",,
3556,Aaron Ciammaglichella,https://www.transfermarkt.com/aaron-ciammaglichella/profil/spieler/724108,,,2022,,,,,,,350.0,"Shoulder Injury , Unknown Injury , Shoulder Injury , Unknown Injury , Shoulder Injury ,",,
3557,Demba Seck,https://www.transfermarkt.com/demba-seck/profil/spieler/551752,,,2022,,,,,,,3.0,"Influenza ,",6.0,"Unknown Injury ,"
3558,Luigi Caccavo,https://www.transfermarkt.com/luigi-caccavo/profil/spieler/815787,,,2022,,,,,,,2.0,"Ill ,",,
3559,Marco Silvestri,https://www.transfermarkt.com/marco-silvestri/profil/spieler/85528,,,2022,,,,,,,22.0,"Inguinal Hernia , Unknown Injury ,",,
3560,Edoardo Piana,https://www.transfermarkt.com/edoardo-piana/profil/spieler/612059,,,2022,,,,,,,37.0,"Unknown Injury ,",,
3561,Nehuén Pérez,https://www.transfermarkt.com/nehuen-perez/profil/spieler/491693,,,2022,,,,,,,58.0,"Distortion of the ankle , Unknown Injury , Distortion of the ankle ,",18.0,"Muscle Fatigue , Muscle Fatigue ,"
3562,Jaka Bijol,https://www.transfermarkt.com/jaka-bijol/profil/spieler/371851,,,2022,,,,,,,6.0,"Concussion , Concussion ,",22.0,"Distortion of the ankle , Distortion of the ankle ,"
3563,Marvin Zeegelaar,https://www.transfermarkt.com/marvin-zeegelaar/profil/spieler/92899,,,2022,,,,,,,13.0,"Corona virus ,",,
3564,Leonardo Buta,https://www.transfermarkt.com/leonardo-buta/profil/spieler/653415,,,2022,,,,,,,92.0,"Leg Injury ,",,
3565,Sandi Lovrić,https://www.transfermarkt.com/sandi-lovri%C4%87/profil/spieler/268429,,,2022,,,,,,,8.0,"Unknown Injury , Unknown Injury ,",12.0,"Unknown Injury , Unknown Injury ,"
3566,Simone Pafundi,https://www.transfermarkt.com/simone-pafundi/profil/spieler/876400,,,2022,,,,,,,114.0,"Contracture , Muscle Injury ,",24.0,"Shoulder Injury , Shoulder Injury ,"
3567,Beto,https://www.transfermarkt.com/beto/profil/spieler/595809,,,2022,,,,,,,45.0,"Muscle Injury ,",27.0,"Lumbago , Flu ,"
3568,Wisdom Amey,https://www.transfermarkt.com/wisdom-amey/profil/spieler/818878,,,2022,,,,,,,16.0,"Corona virus ,",,
3569,Andrea Cambiaso,https://www.transfermarkt.com/andrea-cambiaso/profil/spieler/459658,,,2022,,,,,,,143.0,"Knee Injury , Hamstring Injury , Knee Injury ,",72.0,"Muscle Injury , Muscle Injury ,"
3570,Nikola Moro,https://www.transfermarkt.com/nikola-moro/profil/spieler/316934,,,2022,,,,,,,6.0,"Facial Injury , Facial Injury ,",,
3571,Niklas Pyyhtiä,https://www.transfermarkt.com/niklas-pyyhtia/profil/spieler/679754,,,2022,,,,,,,178.0,"Ankle Injury , Ankle Injury ,",,
3572,Emanuel Vignato,https://www.transfermarkt.com/emanuel-vignato/profil/spieler/394346,,,2022,,,,,,,28.0,"intestial virus , Unknown Injury , Corona virus , Muscular problems ,",,
3573,Orji Okwonkwo,https://www.transfermarkt.com/orji-okwonkwo/profil/spieler/401935,,,2022,,,,,,,70.0,"Unknown Injury , Knock ,",,
3574,Patrick Ciurria,https://www.transfermarkt.com/patrick-ciurria/profil/spieler/255838,,,2022,,,,,,,6.0,"Strain ,",,
3575,Dany Mota,https://www.transfermarkt.com/dany-mota/profil/spieler/347253,,,2022,,,,,,,19.0,"Hamstring Injury ,",38.0,"Abdominal Influenza , Ankle Injury , Muscular problems , Muscle Fatigue , Leg Injury ,"
