,Player,Player_url,Duration,Type,Season
73,Kieran Trippier,https://www.transfermarkt.com/kieran-trippier/profil/spieler/95810,14.0,"Ankle Injury ,",2018
74,Kyle Walker-Peters,https://www.transfermarkt.com/kyle-walker-peters/profil/spieler/341051,31.0,"Hamstring Injury ,",2018
75,Harry Winks,https://www.transfermarkt.com/harry-winks/profil/spieler/249126,190.0,"Ankle Injury , Ankle Injury , Ill , Ankle Injury ,",2018
76,Victor Wanyama,https://www.transfermarkt.com/victor-wanyama/profil/spieler/77760,133.0,"Cartilage Damage ,",2018
77,Mousa Dembélé,https://www.transfermarkt.com/mousa-dembele/profil/spieler/19368,66.0,"Bruised Ankle , Bruised Ankle ,",2018
78,Dele Alli,https://www.transfermarkt.com/dele-alli/profil/spieler/207929,13.0,"Hamstring Injury ,",2018
79,Heung-min Son,https://www.transfermarkt.com/heung-min-son/profil/spieler/91845,60.0,"Hand fracture ,",2018
80,Georges-Kevin N'Koudou,https://www.transfermarkt.com/georges-kevin-nkoudou/profil/spieler/215679,46.0,"Foot Injury ,",2018
81,Lucas Moura,https://www.transfermarkt.com/lucas-moura/profil/spieler/77100,17.0,"Ankle Injury ,",2018
82,Harry Kane,https://www.transfermarkt.com/harry-kane/profil/spieler/132098,35.0,"Ankle Injury , Knee Injury , Hamstring Injury ,",2018
83,Vincent Janssen,https://www.transfermarkt.com/vincent-janssen/profil/spieler/207015,132.0,"Ankle fracture , Unknown Injury ,",2018
84,Fernando Llorente,https://www.transfermarkt.com/fernando-llorente/profil/spieler/35564,72.0,"Fractured Arm ,",2018
85,Sergio Romero,https://www.transfermarkt.com/sergio-romero/profil/spieler/30690,165.0,"Knee Injury , Knee Injury , Knock , Minor Knock ,",2018
86,Lee Grant,https://www.transfermarkt.com/lee-grant/profil/spieler/13460,50.0,"Wirst Injury ,",2018
87,Eric Bailly,https://www.transfermarkt.com/eric-bailly/profil/spieler/286384,242.0,"Ankle Injury , Knock , Ankle Injury , Knock ,",2018
88,Phil Jones,https://www.transfermarkt.com/phil-jones/profil/spieler/117996,142.0,"Hamstring Injury , Hamstring Injury , Hamstring Injury , Hamstring Injury ,",2018
89,Marcos Rojo,https://www.transfermarkt.com/marcos-rojo/profil/spieler/93176,12.0,"Head Injury , Head Injury ,",2018
90,Diogo Dalot,https://www.transfermarkt.com/diogo-dalot/profil/spieler/357147,124.0,"Meniscal Injury ,",2018
91,Antonio Valencia,https://www.transfermarkt.com/antonio-valencia/profil/spieler/33544,32.0,"Hamstring Injury , Minor Knock , Rest ,",2018
92,Paul Pogba,https://www.transfermarkt.com/paul-pogba/profil/spieler/122153,126.0,"Thigh muscle rupture , Thigh muscle rupture ,",2018
93,Ander Herrera,https://www.transfermarkt.com/ander-herrera/profil/spieler/99343,74.0,"Thigh Problems , Thigh Problems ,",2018
94,Marouane Fellaini,https://www.transfermarkt.com/marouane-fellaini/profil/spieler/39679,152.0,"Muscle Injury , Knee Injury , Knee Injury , Knee Injury , Rest , Knock ,",2018
95,Andreas Pereira,https://www.transfermarkt.com/andreas-pereira/profil/spieler/203394,63.0,"Muscle Injury , Achilles tendon problems ,",2018
